epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,572.947,1.27376,3.52805,0.01385,0.33132,0.46538,0.32502,0.22152,1.33807,2.47629,0.02187,0.000472492,0.000472492,0.000472492
2,1176.62,1.41078,1.82329,0.0157,0.53419,0.43496,0.44573,0.2799,1.40754,1.95144,0.02415,0.000901858,0.000901858,0.000901858
3,1820.89,1.4577,1.70514,0.01622,0.592,0.58049,0.577,0.35356,1.45415,1.53438,0.02515,0.00128407,0.00128407,0.00128407
4,2440.63,1.45501,1.54491,0.01609,0.50829,0.59146,0.54302,0.33776,1.4064,1.58286,0.02393,0.00121679,0.00121679,0.00121679
5,3064.42,1.4173,1.43763,0.01583,0.53252,0.60954,0.54982,0.3591,1.31882,1.38754,0.02237,0.00114606,0.00114606,0.00114606
6,3694.91,1.39364,1.3391,0.01517,0.63117,0.62263,0.62377,0.40312,1.33423,1.26104,0.02216,0.00107532,0.00107532,0.00107532
7,4309.12,1.3741,1.24529,0.01483,0.60231,0.61841,0.62111,0.39,1.42461,1.28694,0.02443,0.00100459,0.00100459,0.00100459
8,4918.04,1.37775,1.26839,0.01474,0.67955,0.65331,0.66408,0.44081,1.28385,1.19442,0.02166,0.000933851,0.000933851,0.000933851
9,5492.06,1.34042,1.18252,0.01445,0.67544,0.63251,0.65439,0.43859,1.3169,1.1867,0.02221,0.000863116,0.000863116,0.000863116
10,6116.87,1.32303,1.13923,0.01433,0.63873,0.67541,0.65287,0.43278,1.27876,1.2291,0.02139,0.00079238,0.00079238,0.00079238
11,6750.71,1.22317,1.0359,0.01635,0.68832,0.61519,0.65392,0.44311,1.31739,1.15672,0.02191,0.000721645,0.000721645,0.000721645
12,7372.9,1.21384,0.90057,0.01644,0.68518,0.68009,0.67536,0.45802,1.26384,1.1225,0.01982,0.000650909,0.000650909,0.000650909
13,7962.63,1.16885,0.82799,0.01565,0.72335,0.6202,0.66582,0.45505,1.24424,1.17441,0.02048,0.000580174,0.000580174,0.000580174
14,8565.76,1.14594,0.79723,0.01451,0.70844,0.64081,0.68935,0.47844,1.2435,1.09361,0.02022,0.000509438,0.000509438,0.000509438
15,9203.94,1.11825,0.74941,0.01439,0.71664,0.66553,0.69124,0.47532,1.24389,1.1014,0.01987,0.000438703,0.000438703,0.000438703
16,9825.79,1.0838,0.7156,0.01382,0.7114,0.66716,0.68628,0.4764,1.24694,1.09106,0.01965,0.000367967,0.000367967,0.000367967
17,10418.6,1.05664,0.70266,0.01345,0.76992,0.64936,0.69726,0.48655,1.20366,1.07277,0.01872,0.000297232,0.000297232,0.000297232
18,11124.6,1.04112,0.68991,0.01332,0.70414,0.69662,0.6936,0.48844,1.18459,1.05699,0.01836,0.000226497,0.000226497,0.000226497
19,11821.8,1.02106,0.65501,0.01283,0.71075,0.67333,0.69276,0.48639,1.18582,1.06077,0.01861,0.000155761,0.000155761,0.000155761
20,12486.4,1.01534,0.64769,0.01263,0.71612,0.67436,0.69631,0.49009,1.17396,1.06856,0.01846,8.50255e-05,8.50255e-05,8.50255e-05
