epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,495.861,1.32746,2.14522,1.37665,0.59617,0.50182,0.50845,0.29966,1.404,1.94017,1.40064,0.000472492,0.000472492,0.000472492
2,996.972,1.39554,1.54888,1.36505,0.3521,0.47758,0.35782,0.21478,1.43861,2.38431,1.41823,0.000901858,0.000901858,0.000901858
3,1516.43,1.42906,1.49526,1.37373,0.52881,0.56399,0.51491,0.28915,1.50301,2.04598,1.46084,0.00128407,0.00128407,0.00128407
4,1989.85,1.40312,1.39236,1.36268,0.65201,0.46376,0.51137,0.30939,1.51351,1.78153,1.50513,0.00121679,0.00121679,0.00121679
5,2470.51,1.37956,1.32223,1.33961,0.6467,0.58244,0.61471,0.39236,1.36219,1.40438,1.35306,0.00114606,0.00114606,0.00114606
6,2984.26,1.34835,1.22029,1.32687,0.6833,0.52874,0.58848,0.37729,1.3949,1.50292,1.41247,0.00107532,0.00107532,0.00107532
7,3558.27,1.31285,1.15883,1.3097,0.62936,0.67513,0.64194,0.41738,1.29629,1.31233,1.28486,0.00100459,0.00100459,0.00100459
8,4087.92,1.32735,1.14612,1.30121,0.66422,0.63223,0.64425,0.4237,1.32797,1.21187,1.31649,0.000933851,0.000933851,0.000933851
9,4616.11,1.26013,1.05585,1.2751,0.64519,0.62695,0.64127,0.42848,1.3482,1.29437,1.35577,0.000863116,0.000863116,0.000863116
10,5165.94,1.25217,1.02525,1.26022,0.65916,0.63209,0.62478,0.40681,1.33046,1.12444,1.33332,0.00079238,0.00079238,0.00079238
11,5760.73,1.19971,0.96246,1.23912,0.68996,0.63128,0.67081,0.41411,1.4013,1.19312,1.37162,0.000721645,0.000721645,0.000721645
12,6272.99,1.15069,0.90664,1.21002,0.69314,0.67485,0.68196,0.4666,1.20628,1.03509,1.25356,0.000650909,0.000650909,0.000650909
13,7228.35,1.12895,0.8467,1.19453,0.76015,0.6334,0.67328,0.45853,1.23761,1.01303,1.26394,0.000580174,0.000580174,0.000580174
14,7762.16,1.10434,0.81785,1.18801,0.6886,0.67629,0.6745,0.46766,1.17072,0.96263,1.22816,0.000509438,0.000509438,0.000509438
15,8296.99,1.07563,0.78663,1.15126,0.63932,0.72387,0.69641,0.47891,1.2013,0.94763,1.22523,0.000438703,0.000438703,0.000438703
16,8825.59,1.05645,0.74141,1.15812,0.74598,0.64278,0.70462,0.49363,1.19288,0.9413,1.23563,0.000367967,0.000367967,0.000367967
17,9379.66,1.03505,0.72344,1.1438,0.7175,0.66548,0.7183,0.50644,1.15538,0.95448,1.20694,0.000297232,0.000297232,0.000297232
18,9981.57,1.00186,0.69202,1.11939,0.71848,0.65708,0.69066,0.48562,1.16562,0.92177,1.212,0.000226497,0.000226497,0.000226497
19,10561.9,0.97301,0.66531,1.11373,0.70297,0.69834,0.70825,0.49913,1.14613,0.90306,1.20334,0.000155761,0.000155761,0.000155761
20,11123.8,0.96496,0.64486,1.09798,0.75276,0.67905,0.72179,0.51016,1.13682,0.87956,1.19953,8.50255e-05,8.50255e-05,8.50255e-05
