epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.49,0.9029,2.37443,1.03829,0.59592,0.42199,0.40286,0.32415,0.7047,4.17606,0.95433,0.000468525,0.000468525,0.000468525
2,532.58,0.80336,0.77485,0.999,0.95658,0.90022,0.97112,0.79582,0.72598,1.34051,0.97599,0.000898087,0.000898087,0.000898087
3,793.91,0.76522,0.68928,0.99476,0.98238,0.95175,0.98135,0.81399,0.65376,0.56344,0.95398,0.00128049,0.00128049,0.00128049
4,1054.7,0.70573,0.62895,0.9566,0.97391,0.94591,0.97723,0.83307,0.6208,0.5864,0.93368,0.00121679,0.00121679,0.00121679
5,1324.53,0.6753,0.57753,0.93414,0.97569,0.96317,0.98503,0.85247,0.54791,0.51058,0.90437,0.00114606,0.00114606,0.00114606
6,1645.23,0.65423,0.54093,0.93905,0.96888,0.96806,0.98496,0.8545,0.54885,0.51131,0.89762,0.00107532,0.00107532,0.00107532
7,1969.61,0.6435,0.5218,0.92069,0.98459,0.97163,0.98236,0.86885,0.50598,0.4483,0.88184,0.00100459,0.00100459,0.00100459
8,2231.7,0.62723,0.50551,0.9163,0.98558,0.97652,0.98586,0.87342,0.49581,0.43362,0.8788,0.000933851,0.000933851,0.000933851
9,2518.55,0.60341,0.47943,0.9027,0.98558,0.9751,0.98483,0.88735,0.45554,0.40442,0.86575,0.000863116,0.000863116,0.000863116
10,2785.52,0.57506,0.45374,0.89594,0.99138,0.97491,0.98554,0.88745,0.44873,0.39315,0.8616,0.00079238,0.00079238,0.00079238
11,3035.46,0.51786,0.43233,0.88711,0.99017,0.97487,0.98839,0.86946,0.50854,0.40505,0.87488,0.000721645,0.000721645,0.000721645
12,3322.08,0.49958,0.40492,0.8722,0.99331,0.97553,0.98785,0.87904,0.46894,0.38201,0.85987,0.000650909,0.000650909,0.000650909
13,3621.02,0.48793,0.39417,0.86941,0.98483,0.98442,0.98964,0.90241,0.41564,0.35237,0.84335,0.000580174,0.000580174,0.000580174
14,3888.98,0.47467,0.38262,0.86243,0.99097,0.97965,0.98947,0.90747,0.40619,0.34899,0.84151,0.000509438,0.000509438,0.000509438
15,4177.75,0.45198,0.36727,0.85028,0.99491,0.98008,0.99023,0.90132,0.43062,0.33817,0.8375,0.000438703,0.000438703,0.000438703
16,4475.26,0.45196,0.35972,0.85041,0.99174,0.9849,0.99055,0.8987,0.42713,0.32834,0.84024,0.000367967,0.000367967,0.000367967
17,4770.03,0.43712,0.34653,0.84644,0.99219,0.98441,0.9901,0.90732,0.42177,0.32823,0.83735,0.000297232,0.000297232,0.000297232
18,5065.76,0.42605,0.33942,0.83806,0.99525,0.9853,0.99045,0.90769,0.4064,0.32158,0.82999,0.000226497,0.000226497,0.000226497
19,5431.32,0.41261,0.32913,0.83988,0.99508,0.98471,0.99016,0.91189,0.39702,0.30485,0.82618,0.000155761,0.000155761,0.000155761
20,5701.14,0.40396,0.32397,0.82892,0.99451,0.98393,0.98983,0.92056,0.37987,0.29656,0.82338,8.50255e-05,8.50255e-05,8.50255e-05
