epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,254.206,0.97138,2.62453,1.11579,0.6505,0.50106,0.49961,0.3944,0.69907,4.07742,0.95892,0.000468525,0.000468525,0.000468525
2,494.602,0.86069,0.91846,1.06083,0.82834,0.91203,0.87703,0.72524,0.70962,1.20235,0.96335,0.000898087,0.000898087,0.000898087
3,778.23,0.85002,0.79989,1.05518,0.97935,0.94587,0.97581,0.81101,0.72118,0.68553,1.00069,0.00128049,0.00128049,0.00128049
4,1068.88,0.83752,0.77386,1.0591,0.92962,0.89896,0.96327,0.82156,0.59793,0.91326,0.94036,0.00121679,0.00121679,0.00121679
5,1336.78,0.80097,0.74016,1.03529,0.95461,0.92439,0.96577,0.83174,0.57303,0.61222,0.91391,0.00114606,0.00114606,0.00114606
6,1573.74,0.73996,0.66058,1.00634,0.98986,0.967,0.98584,0.82832,0.6411,0.5241,0.94748,0.00107532,0.00107532,0.00107532
7,1841.54,0.73614,0.65804,1.00359,0.97536,0.95867,0.97795,0.85944,0.54116,0.53236,0.90234,0.00100459,0.00100459,0.00100459
8,2094.04,0.71954,0.61686,0.98945,0.98254,0.9666,0.98535,0.86728,0.4991,0.47014,0.88381,0.000933851,0.000933851,0.000933851
9,2350.97,0.6973,0.59553,0.98643,0.98972,0.96921,0.98627,0.86696,0.50181,0.43253,0.89263,0.000863116,0.000863116,0.000863116
10,2602.93,0.70018,0.59217,0.98134,0.9904,0.97397,0.98771,0.8772,0.48112,0.43726,0.88783,0.00079238,0.00079238,0.00079238
11,2833.16,0.5851,0.51983,0.93126,0.99629,0.96971,0.98745,0.86532,0.51594,0.42296,0.87897,0.000721645,0.000721645,0.000721645
12,3073.72,0.57018,0.50442,0.92794,0.99039,0.97961,0.98805,0.87749,0.48583,0.40142,0.8763,0.000650909,0.000650909,0.000650909
13,3338.02,0.56643,0.4961,0.93029,0.98608,0.98077,0.98775,0.88509,0.46313,0.38336,0.85436,0.000580174,0.000580174,0.000580174
14,3602.66,0.51693,0.45245,0.90288,0.98743,0.97774,0.98785,0.90423,0.41909,0.36567,0.84274,0.000509438,0.000509438,0.000509438
15,3846.37,0.51671,0.44401,0.90179,0.99094,0.97665,0.9884,0.89998,0.42138,0.35349,0.84037,0.000438703,0.000438703,0.000438703
16,4093.15,0.51534,0.43038,0.89703,0.99038,0.97961,0.99013,0.88825,0.44747,0.35701,0.84794,0.000367967,0.000367967,0.000367967
17,4339.14,0.50174,0.41786,0.89268,0.9923,0.97819,0.99024,0.90802,0.40211,0.34056,0.83551,0.000297232,0.000297232,0.000297232
18,4588.82,0.48721,0.401,0.88255,0.98898,0.97819,0.98883,0.90312,0.41828,0.33494,0.83423,0.000226497,0.000226497,0.000226497
19,4844.85,0.46771,0.39032,0.87757,0.99127,0.9791,0.98884,0.91005,0.39366,0.32388,0.82902,0.000155761,0.000155761,0.000155761
20,5101.51,0.46208,0.38405,0.87148,0.9915,0.97849,0.98856,0.89792,0.42382,0.32595,0.82973,8.50255e-05,8.50255e-05,8.50255e-05
