epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,261.559,1.00191,2.82388,1.15898,0.90934,0.53149,0.50058,0.37828,0.71677,3.97701,0.95904,0.000468525,0.000468525,0.000468525
2,535.861,1.00669,1.11265,1.16492,0.89059,0.7716,0.9179,0.74159,0.72211,1.48767,0.97474,0.000898087,0.000898087,0.000898087
3,855.793,0.93867,0.9692,1.11286,0.95332,0.9271,0.96512,0.75276,0.7901,0.69289,0.99639,0.00128049,0.00128049,0.00128049
4,1102.37,0.95602,0.93469,1.11755,0.93562,0.9225,0.96322,0.80696,0.64827,0.67301,0.94101,0.00121679,0.00121679,0.00121679
5,1346.19,0.90206,0.87357,1.09803,0.95486,0.92486,0.97064,0.82387,0.60743,0.60278,0.91261,0.00114606,0.00114606,0.00114606
6,1637.43,0.87082,0.83747,1.08053,0.98455,0.95584,0.98626,0.8481,0.57979,0.52029,0.90263,0.00107532,0.00107532,0.00107532
7,1912.88,0.8658,0.82687,1.08825,0.99303,0.95512,0.98345,0.84895,0.5323,0.49694,0.88297,0.00100459,0.00100459,0.00100459
8,2165.99,0.83736,0.76374,1.06187,0.98429,0.96304,0.98637,0.85629,0.53234,0.49959,0.88616,0.000933851,0.000933851,0.000933851
9,2398.52,0.81369,0.7289,1.04922,0.99356,0.97257,0.98619,0.85432,0.53417,0.45884,0.88812,0.000863116,0.000863116,0.000863116
10,2657.03,0.8027,0.71534,1.03891,0.98643,0.96709,0.98285,0.8666,0.52334,0.46545,0.88001,0.00079238,0.00079238,0.00079238
11,2917.52,0.68663,0.65064,0.9767,0.98477,0.97122,0.98373,0.87255,0.49725,0.44029,0.86725,0.000721645,0.000721645,0.000721645
12,3175.51,0.66191,0.60053,0.97348,0.99015,0.97275,0.98653,0.88016,0.50042,0.42839,0.86371,0.000650909,0.000650909,0.000650909
13,3428.76,0.65968,0.58931,0.9694,0.98689,0.97637,0.98698,0.88786,0.45466,0.39638,0.84926,0.000580174,0.000580174,0.000580174
14,3669.9,0.62637,0.55359,0.94993,0.99148,0.97298,0.98788,0.88567,0.47049,0.38543,0.85322,0.000509438,0.000509438,0.000509438
15,3911.14,0.61489,0.52607,0.94771,0.99444,0.97561,0.98959,0.89385,0.43774,0.37404,0.83858,0.000438703,0.000438703,0.000438703
16,4157.24,0.60539,0.51795,0.93984,0.98502,0.9794,0.98821,0.88048,0.47237,0.37527,0.84737,0.000367967,0.000367967,0.000367967
17,4447.48,0.58744,0.49586,0.9342,0.99162,0.98166,0.98953,0.90175,0.41489,0.34815,0.83617,0.000297232,0.000297232,0.000297232
18,4740.97,0.57757,0.47368,0.92801,0.99434,0.9809,0.98858,0.90467,0.41763,0.3448,0.83447,0.000226497,0.000226497,0.000226497
19,4990.13,0.55528,0.45475,0.91963,0.9927,0.97807,0.98873,0.90129,0.42138,0.34159,0.83302,0.000155761,0.000155761,0.000155761
20,5277.88,0.55488,0.4416,0.91829,0.99179,0.97862,0.98822,0.89651,0.43221,0.33752,0.8324,8.50255e-05,8.50255e-05,8.50255e-05
